epoch,train_loss,val_loss,val_accuracy
1,2.0665,2.0823,0.3226
2,1.9090,1.9494,0.3871
3,1.7645,1.7942,0.3871
4,1.6269,1.6378,0.4839
5,1.5078,1.5064,0.4839
6,1.4290,1.4041,0.4839
7,1.2879,1.3203,0.4839
8,1.2880,1.2599,0.4839
9,1.1825,1.2202,0.4839
10,1.1469,1.1988,0.4839
11,1.1317,1.1805,0.4839
12,1.0579,1.1628,0.4839
13,0.9778,1.1585,0.4839
14,0.9876,1.1502,0.4839
15,0.9548,1.1351,0.4839
16,0.9660,1.1285,0.4839
17,0.9168,1.1236,0.4839
18,0.8332,1.0987,0.6129
19,0.8230,1.0959,0.5484
20,0.8698,1.0951,0.5484
21,0.7765,1.0801,0.5806
22,0.8149,1.0701,0.6129
23,0.7933,1.0771,0.5484
24,0.7428,1.0655,0.5484
25,0.7733,1.0636,0.5484
26,0.6551,1.0637,0.5484
27,0.7331,1.0749,0.5806
28,0.7038,1.0699,0.5806
29,0.6413,1.0645,0.6129
30,0.6057,1.0537,0.6452
